sample_index,sample_id,label,class_code,source_cube,source_replicate,seed_id,constructed_batch,analysis_split,relative_mat_path,mat_path_sha256,mat_size_bytes,foreground_pixels,inner_pixels,outer_pixels,foreground_std_features,foreground_iqr_features,radial_features,morphology_features,extracted_mat_feature_sha256,mat_content_sha256
311,1-2/72,1,HBX,1-2,2,72,1,development,1-2/72.mat,9541951f57769fbcecc33de6388feb4aa102239e1a1c1e60380024aad2912e02,832063,284,135,149,392,392,392,5,de0926c4669bbc9f58ecb73ef76ea3623b471c9d31a5d4ec53c1c4005b70cdb1,not_computed_in_blind_development
312,1-2/73,1,HBX,1-2,2,73,1,development,1-2/73.mat,4eacbdada61b024ed07ca1b217a3a640188d9ddc0f6eee69efa4d641171b14cb,826997,279,131,148,392,392,392,5,4cd5e1bd236e5dd6a9d1590832be0ee8693f9b5671c540d855102f818b1f499c,not_computed_in_blind_development
313,1-2/74,1,HBX,1-2,2,74,2,development,1-2/74.mat,497f4731333cb0b7e0ae1321aa65b44137cb421b86798cc7cfb699cf63d18c90,916418,313,154,159,392,392,392,5,0422861d2b92b35176789bed96a2557d64192a507ed9f5a18bc98f81e4001949,not_computed_in_blind_development
314,1-2/75,1,HBX,1-2,2,75,7,development,1-2/75.mat,2f6bedefedffca2419e0ef56434c8df96c1c15236cc44a9d1b01520888b47e97,961776,329,164,165,392,392,392,5,38202fd136dca98775b3f4b12e1a4090444467d142eeb9b80a877292df409d90,not_computed_in_blind_development
315,1-2/76,1,HBX,1-2,2,76,6,development,1-2/76.mat,72b34c17a6d74c242576a5514ea6e027dee6b906fb01cf42602fa1237407162d,810715,276,129,147,392,392,392,5,44782dc0192e459894976e2a8fe2f56929ad7bf2f797ddf113f79c7a1da1fc1d,not_computed_in_blind_development
316,1-2/77,1,HBX,1-2,2,77,7,development,1-2/77.mat,3dfcf7abca98c87f15ebf87424a28379c16d140481dd5653dd324f4322e2435b,597703,197,84,113,392,392,392,5,a23e5024146c5d3bb616de264c260f7497fda7f90a1a81c3bf926206ba977c2f,not_computed_in_blind_development
317,1-2/78,1,HBX,1-2,2,78,0,development,1-2/78.mat,d66956039cd600cbbdf02dc942f496f61161b10435854328623e5f7c457e819a,765657,260,128,132,392,392,392,5,2e98d3db64547a9b04dfd0529196cc883a56d4deb17775301d907a2409df1871,not_computed_in_blind_development
319,1-2/80,1,HBX,1-2,2,80,4,development,1-2/80.mat,ab7d4bb3169281e2122ac22bd04c6c74cc079476048068417241303e6eb3d7a0,776545,262,120,142,392,392,392,5,6d02e55576c14a751ec08949c5377291219b223cb372cbb2de47e6f0188100df,not_computed_in_blind_development
320,2-1/1,2,HNA,2-1,1,1,2,development,2-1/1.mat,f37fee688d859fcd6ac6dd850f455beb4d0104f70dd467b94a98205941056a04,920400,316,148,168,392,392,392,5,16549bcba050434fe5942f713c9986501a41cb55cac4eb5d57981b4093fb18b5,not_computed_in_blind_development
321,2-1/2,2,HNA,2-1,1,2,3,development,2-1/2.mat,1fac654bcc64bfb86d4b545d29efb1f573e3054a3ced089db86a8a373a13d2f6,663277,222,104,118,392,392,392,5,4efb2b1fc32ae58dd1de4921acdf79f8756574a92cdde513818f47a9b6a24a18,not_computed_in_blind_development
322,2-1/3,2,HNA,2-1,1,3,6,development,2-1/3.mat,6bd39a536c41305e6bf957496d75e4f0b7f6d7c5e7be2cb53935a34c494a3a48,876824,302,148,154,392,392,392,5,0dafc95e49a020fea3e0e7ad3f270ef88bf9910929742b886435451a28e0b7ae,not_computed_in_blind_development
323,2-1/4,2,HNA,2-1,1,4,1,development,2-1/4.mat,4b983992f541fed95cc52a4959acbf58323fd89792e1d8339fb0035533ac89f5,647449,215,97,118,392,392,392,5,72ebbc1c9112af62a221acdac17955aa6eb5b45ac3b5d6d8657f860269147e4c,not_computed_in_blind_development
324,2-1/5,2,HNA,2-1,1,5,5,development,2-1/5.mat,d4a76a18667a3b05120247cd4504e0835805c03daf6193c37324d38a95344b24,707426,236,112,124,392,392,392,5,e10898c24defb2583fa347db83d91e5c0193389699505e87bc669a7460f3ce7c,not_computed_in_blind_development
325,2-1/6,2,HNA,2-1,1,6,7,development,2-1/6.mat,6856b60c9c9c557b2a91bc837637420c82a288dfd3eedf05f32ef2ee701a5634,630859,211,105,106,392,392,392,5,87f91dc9f1ae23f3185eb506be1ae40a4f6601621c2950b411831ebcc6f570cd,not_computed_in_blind_development
326,2-1/7,2,HNA,2-1,1,7,2,development,2-1/7.mat,b5ddbdf9c816111a13f22440fda17a251dc0f8bb8d1bf866f177bffe01aeb57c,463230,149,69,80,392,392,392,5,5e3942dcdbda429cb09a10d567ed2ec3eb8c7da4fb225960e0c05a800c6b59e1,not_computed_in_blind_development
327,2-1/8,2,HNA,2-1,1,8,4,development,2-1/8.mat,85b3d643884cd5a3e7bb73ece0d764961c863a802c9451bed12450d098733fff,623024,208,96,112,392,392,392,5,34d81bf5568084d8ac4e40fcf473c2b691dbcc2177650f226dba26e9f695dc2b,not_computed_in_blind_development
329,2-1/10,2,HNA,2-1,1,10,4,development,2-1/10.mat,3bcab7382a2b7be374f8b90202cb11782490f86697aeb2c1ab14d1e3f2a07062,549035,178,84,94,392,392,392,5,46d5d1db9f0c29adb84c432f70d41da9e7306167b4d98162fa88c4796387e592,not_computed_in_blind_development
330,2-1/11,2,HNA,2-1,1,11,3,development,2-1/11.mat,c17d7a7ee9b282aa1c6900e8b0c09e72c1669aa5f18c9be924df390a132188c5,609959,202,86,116,392,392,392,5,06ae2eb57fa47e3b9a5aea6cc1e9167cfdb1b262f96d5b39594287895955cf6b,not_computed_in_blind_development
331,2-1/12,2,HNA,2-1,1,12,7,development,2-1/12.mat,de8b29d44f331241fefe4fbc28050ddbd9b1c7b7f8169a4c8910c757a02d0f4c,792698,270,121,149,392,392,392,5,d0bbc59ec60f373f8e4c99ba681675db05a2ad983f12bbe59fc64008b8a365e9,not_computed_in_blind_development
332,2-1/13,2,HNA,2-1,1,13,6,development,2-1/13.mat,6fa746d36fc8430397ab64377f755899de472849d0e673e09cc184b38fed53ea,1059716,365,175,190,392,392,392,5,65c2f0a151bc06a059e2c1875d96ff0288ea192f6299abdeac7c0cc92faba068,not_computed_in_blind_development
333,2-1/14,2,HNA,2-1,1,14,1,development,2-1/14.mat,8602c8668e2a1f741867f7e900821229cfc33398623d2f6d763d5af1e59ae3da,588325,196,85,111,392,392,392,5,9b4ae7bac41c5c1c7ea219d7c8cbc9366afa7aed4fa8f42ededaea31f339c559,not_computed_in_blind_development
334,2-1/15,2,HNA,2-1,1,15,6,development,2-1/15.mat,cce1e8967f501d27c4cd10808b1b233292afc03ad20e2c2eb92a294d10315706,680888,227,104,123,392,392,392,5,85fb7694805735bb38ec89fc29654e2617c071afa5894fa1745dbd7a36b8ffd1,not_computed_in_blind_development
337,2-1/18,2,HNA,2-1,1,18,2,development,2-1/18.mat,8a17059dabf1f0f29e4dd9a11d0d6045ef06b9dcad1d08031d3c9a514374b63f,753437,255,123,132,392,392,392,5,b42df4dfe1f49dd4b7ca293981c1f80cde66c2c4a559cce8f4f315c4275ebae3,not_computed_in_blind_development
339,2-1/20,2,HNA,2-1,1,20,3,development,2-1/20.mat,bccbde146fe9ca266f21a3f3f20bacb96b01879f510231af596e7e4ca3ff9250,563976,184,77,107,392,392,392,5,3d6e6c08c99387e1b27cbf66a87ac7daeafb3339737bb60457110a63d1071b97,not_computed_in_blind_development
341,2-1/22,2,HNA,2-1,1,22,4,development,2-1/22.mat,c224ba9d69088a2b6db5ed395a3320e037d3c5d48d8f383e07a2d8f41bd1c6a7,994031,341,159,182,392,392,392,5,bb54b5b9cbbe74a77994af402bdc54a0a75a03709381b64440fda707d19b0171,not_computed_in_blind_development
342,2-1/23,2,HNA,2-1,1,23,6,development,2-1/23.mat,f942bb2a13427eb4c77016d6fee4780c0c895c52fa1522fbf6be9d389381054e,880176,303,147,156,392,392,392,5,f94195e755d86ba2e0f65e08e2bea243ac33d1e500567878c6cb932c6b697be1,not_computed_in_blind_development
344,2-1/25,2,HNA,2-1,1,25,4,development,2-1/25.mat,3fd433968ac94fc47fdbe2d8196cf70b5cb1c3b655cbc7b6f96edf0be7b79e18,614550,203,91,112,392,392,392,5,948c047d4a40eda9c10b31153460f575b4496228758b91c4acf6639f1f5cc682,not_computed_in_blind_development
345,2-1/26,2,HNA,2-1,1,26,1,development,2-1/26.mat,e73bdeed19312f038fc0245644a967442e691654f267d82cd8dfc46238768ff2,591464,197,83,114,392,392,392,5,e6137827cf7fc22b81b6f31d12fabfeae94fe391b09434416a7175b74bd32bbc,not_computed_in_blind_development
346,2-1/27,2,HNA,2-1,1,27,3,development,2-1/27.mat,01d55c35f78c29e22200626bc397b99c912e2f25bdc69873c21a8f17a2252a86,621413,206,91,115,392,392,392,5,ed0962cba67e2ac5d75831eb2d1e526571c296838055ed259139a240fbb8391d,not_computed_in_blind_development
347,2-1/28,2,HNA,2-1,1,28,7,development,2-1/28.mat,146da026d70a3be6d94de4a2d066fd23310af315d3b3f773ca2153c64600a68e,886148,305,150,155,392,392,392,5,c234ff01c6beac5664fb466ff2b99836eeca24ca0f81f9d2002a4a40ae1a1596,not_computed_in_blind_development
348,2-1/29,2,HNA,2-1,1,29,7,development,2-1/29.mat,f94ab215681f0e7718f84920206ce19704119734db2e24bdbdfac298918845f5,700747,235,112,123,392,392,392,5,5f788d300fad6c2f3d14035941dca87dc3dd4cc41a11b505e8acfd72e7564a25,not_computed_in_blind_development
349,2-1/30,2,HNA,2-1,1,30,2,development,2-1/30.mat,7022684f6fbef131ff7de27e1e344779f7d827dada98db5f21682ef97cf222ca,556414,182,91,91,392,392,392,5,8020f20fe781759684580d061a2896714a695b506786557ebbdae1f8fa94b170,not_computed_in_blind_development
351,2-1/32,2,HNA,2-1,1,32,0,development,2-1/32.mat,d1b4e8f05f3281708258e16dbc04474849026e220616884725f8fb57a1f27132,948406,322,152,170,392,392,392,5,2e5e627d3279f9f9842fef12a3d8b02d10df11ed6235a93c53a58c770d62aca3,not_computed_in_blind_development
352,2-1/33,2,HNA,2-1,1,33,4,development,2-1/33.mat,d34946816136f61b2be8357cbcdee0d7a9c163f68cbbb38c9ec10c696f3a0d02,865470,297,144,153,392,392,392,5,8766633ca306bd89f72ff5d6db1d79e9fb6f9bef67e46757688513f883cfeac1,not_computed_in_blind_development
353,2-1/34,2,HNA,2-1,1,34,0,development,2-1/34.mat,99ef446ca13ba38b5cb6f70776f1b5c191c871b24bb6ab46a21a06c25e547830,672512,225,103,122,392,392,392,5,79b4a4839fbd1b568b8df50c9958c9e1f0ebe1d7ee9d815844236fc70a3ce19b,not_computed_in_blind_development
354,2-1/35,2,HNA,2-1,1,35,2,development,2-1/35.mat,b9dae31eaa2a69f24535ed11335f55132bae30a65d74ee53c56b6fd75e99d6ba,558508,184,77,107,392,392,392,5,d305bfc234f71ac88c47f6516e3110d763624d98e1e8b2d96a6595599cd0597d,not_computed_in_blind_development
355,2-1/36,2,HNA,2-1,1,36,5,development,2-1/36.mat,c405037aeae7fdfe8fc5a59be0f037bbcb6ca1024e1cd7cd52b6e8db4e4b6bb6,565542,186,91,95,392,392,392,5,9cad0898e9eaa5ef0a555a56be9186d71c62dae491260e2ac560979e65f48e2d,not_computed_in_blind_development
356,2-1/37,2,HNA,2-1,1,37,2,development,2-1/37.mat,7be376c597fc96df554f6400ff6d8762ca8032c7523ebdbb483b74eadaaec41d,577818,191,83,108,392,392,392,5,dcdab9c34f60f2a06df4bfcf85fae6bb0fad6efddbe1c27ef74433002904eec2,not_computed_in_blind_development
357,2-1/38,2,HNA,2-1,1,38,1,development,2-1/38.mat,1b6b642c86f240a3e6fa81c3b71affab63550cdd365be5f36300b33d390f1864,601500,199,82,117,392,392,392,5,7a28b859cc29a89ef54f96eb7fec4f81689f4ee3a40d860ee8c6aaf5189174f3,not_computed_in_blind_development
358,2-1/39,2,HNA,2-1,1,39,5,development,2-1/39.mat,8efb3b1e63f992d57e9caab20169b6c212557163661f027998f50cfbbb29e96f,844478,290,139,151,392,392,392,5,1008af59154dfbcccfe2428b272ce44725a6a34d44edcfe61b3c9b6c5a48215b,not_computed_in_blind_development
360,2-1/41,2,HNA,2-1,1,41,5,development,2-1/41.mat,a810703404d00d8a8b6c1452c9ada36b3830757352201e1f871490d19d41c53f,938256,322,152,170,392,392,392,5,6c075cc72d1dd2f3b1aa259cc64340ce9fee1279542edc29f0da75ac6db78826,not_computed_in_blind_development
361,2-1/42,2,HNA,2-1,1,42,1,development,2-1/42.mat,c140304c49efa4fcf0194faca1002041ccd28c2dea7ca3743c86cd36b9c46588,582795,193,82,111,392,392,392,5,27d6faadba96031a4d843ce2558acd0fab50e618b5e01ca283844bfb39268ea0,not_computed_in_blind_development
362,2-1/43,2,HNA,2-1,1,43,6,development,2-1/43.mat,99fc4480c8bc4a7354f7fd5ebbcc370733ac1c8bcd04a41c4716508035d458c0,915400,314,155,159,392,392,392,5,54af985b60625efaac3b788537c84d95bdb203e13ad431567a01a48114e596f8,not_computed_in_blind_development
363,2-1/44,2,HNA,2-1,1,44,2,development,2-1/44.mat,3d69af84af58795e93ad32c7fed9fc22c227e0e3201bc7b3c3b5139c7edcb397,594585,196,85,111,392,392,392,5,46349203f853f98fae5089a676fa8cff3848cd5288b77c26ecac5935948d7b09,not_computed_in_blind_development
364,2-1/45,2,HNA,2-1,1,45,0,development,2-1/45.mat,e2579fb497ca83584423167686f4c3b592f712ba7681f9a51c7e87c8ceb36d0e,742529,250,123,127,392,392,392,5,ac31e3d25880875637996e4a8837e5536b9eb7b8f6764dc0765b6ac2f3d82325,not_computed_in_blind_development
365,2-1/46,2,HNA,2-1,1,46,0,development,2-1/46.mat,e42c644ac98a7f6aeeeefdca22fd3197835f98c383b8833f1c9ca808ff169624,1030618,353,171,182,392,392,392,5,44705e77dbbef549336f87cf904dc9023f1edcc200e2c956971871ee81343fcd,not_computed_in_blind_development
366,2-1/47,2,HNA,2-1,1,47,2,development,2-1/47.mat,f3f1ec9cef3a5f9d75670339b1ac97f2e9217808844112a03289b820236b9c3e,561391,185,90,95,392,392,392,5,7853c2a6a0ecc9b09502432212ebb0674433d1227cf202c16033e854614e387f,not_computed_in_blind_development
368,2-1/49,2,HNA,2-1,1,49,4,development,2-1/49.mat,1279276f7ab0e989d6a57f967054278b503ec91401a5cb6780591d6c18fdbfc8,642513,213,93,120,392,392,392,5,b8cea617899b4f96b60f86f9998aa8161d6355212c9a97d7cfba3c30f12bb208,not_computed_in_blind_development
371,2-1/52,2,HNA,2-1,1,52,3,development,2-1/52.mat,8f69f87cc4f7cff069807c21d213a5f3cba7207dd99bf9139a106c2881d5b8ba,1003725,343,170,173,392,392,392,5,30ee06c66a3df52a35bced2fd7034f04aeafa1cc9a92e4bdb775f8316761741f,not_computed_in_blind_development
372,2-1/53,2,HNA,2-1,1,53,0,development,2-1/53.mat,8a6c3741cfa931b441e61c10168f382e4a5e339dd88ee34d5554071523984649,639013,212,93,119,392,392,392,5,818002f6e0ff2ac4ad8a181d5ef582e8d694fa56b307203c63a2a69868016e4c,not_computed_in_blind_development
373,2-1/54,2,HNA,2-1,1,54,0,development,2-1/54.mat,5f23294e84cd1e199792b4300deee5550a80eaa0f58a548807e267895b4cf416,895189,309,144,165,392,392,392,5,fc70319a1857c3c131c88b8e2d7e8228c110fe89ce2641ef8c10eb2190801242,not_computed_in_blind_development
374,2-1/55,2,HNA,2-1,1,55,0,development,2-1/55.mat,746d14e681389f1486ebbf77c1a7a49f0f719e4d6db4539fdc96950616c7fbbd,783585,264,132,132,392,392,392,5,d114815fd6dca11ec4282aaa5fd5976bfc45d4b4504f2637b5ae3e6e447d1af4,not_computed_in_blind_development
375,2-1/56,2,HNA,2-1,1,56,4,development,2-1/56.mat,90a301197ea0b887d4507312f1c84847fa80bb7226530f30c338df7db501a77c,657830,219,101,118,392,392,392,5,457b3510bfcd02d628c5beaa7b8234b52f58163e072be0fdc4acbebc51564477,not_computed_in_blind_development
376,2-1/57,2,HNA,2-1,1,57,4,development,2-1/57.mat,6d6c7bdbe56a8e3b0eb6a71c36cb3d55f0b62cc6cb161320579a6760cbb126df,776727,266,125,141,392,392,392,5,3db998278516304e5b92690561559b999ce8778617a4934ffca9d6d518cdcc80,not_computed_in_blind_development
377,2-1/58,2,HNA,2-1,1,58,1,development,2-1/58.mat,3008076b991ecb9663cf02e02fc7efacb2f5431178ec897a506e72079e5958ed,491569,158,70,88,392,392,392,5,8dedf1a6b88f626002f8a4e10533b1be0fb8a0a73b8a8fd7c0d0a59cd22bbbcf,not_computed_in_blind_development
378,2-1/59,2,HNA,2-1,1,59,3,development,2-1/59.mat,ee5f0ce818db677f15a9db33fee87522b3d5b4cb5c756668cf12d504d1806a0e,537791,177,88,89,392,392,392,5,79eb50e3e4837bbdcefc1e0c147180c17657e811e8606ba787fb749f8313ca29,not_computed_in_blind_development
379,2-1/60,2,HNA,2-1,1,60,7,development,2-1/60.mat,e22493ec460151356740ee16c49d3bf742df87be4a1ec3b3911714c9d2c2e045,570475,188,92,96,392,392,392,5,b90f8361e9ce1471790a29071d695e7e2ad8b5aab84c6f61ce9ee6f9ec21985d,not_computed_in_blind_development
380,2-1/61,2,HNA,2-1,1,61,3,development,2-1/61.mat,efa00dda2f901e44980fd849482cd72dfb7455fd281af505c056aafc170c1a84,652625,219,99,120,392,392,392,5,1db896dff03ed5f0723e71f8ccf45a1405ff5d84040977b6526b07057a7bcb15,not_computed_in_blind_development
381,2-1/62,2,HNA,2-1,1,62,5,development,2-1/62.mat,9d3d39808cd6273b04266a2e5dfe9f15c88bdf6d6f4687853e58846b93e9decb,637814,212,97,115,392,392,392,5,d05cca593d08c21998c523500e771b21a5a86825b0d1272123bb469311e2feb9,not_computed_in_blind_development
383,2-1/64,2,HNA,2-1,1,64,6,development,2-1/64.mat,5af713da1516650daf2002ca9df95fe2ce0749f57bca6c7bfeceb7ef82a8d68b,650828,218,98,120,392,392,392,5,6b3d9ed524fb99378a13af3ae5acc269c15735b45bc380104606dddbdc0ddc3c,not_computed_in_blind_development
385,2-1/66,2,HNA,2-1,1,66,7,development,2-1/66.mat,de8ba8f99482e5678174690edf3ea62d020cbb5b1edb7fb645801dd7d480c922,769018,263,131,132,392,392,392,5,e8d694e149526a3a4e532a5e745f9f7b1170b8e55969d94d232d7e412262c205,not_computed_in_blind_development
386,2-1/67,2,HNA,2-1,1,67,7,development,2-1/67.mat,1c4e0df3f086271a95b93b44ba0792d195023739e65a7c9b6b0a416c1850744d,509604,164,78,86,392,392,392,5,d9f6c0a0abacfb43634183a8b7ec1e3012d9ab5cce3d585435e920c782326e18,not_computed_in_blind_development
388,2-1/69,2,HNA,2-1,1,69,5,development,2-1/69.mat,5162d0e5393e12113d1223eec20c1dd6a495055415ba5a77484c9aa552570fcd,776627,264,132,132,392,392,392,5,5c423ccc3308a5ceb027d4ffea2c44307f7c40a4c538da7429c99b1eec9759ff,not_computed_in_blind_development
389,2-1/70,2,HNA,2-1,1,70,6,development,2-1/70.mat,065b721f165786130ed073fa87a66282b86378a7084fca6ce06fbf98dd339d87,621543,204,101,103,392,392,392,5,7d410fbddd78511d2c63db1d7a876053fa8e0b06573e070e461ca46a1b9ca156,not_computed_in_blind_development
390,2-1/71,2,HNA,2-1,1,71,3,development,2-1/71.mat,6d97eb3313b12703e55d8d5095c1ae24aae3544ef98fcc456f70b42d74f28dae,883654,300,144,156,392,392,392,5,5089ba960116009c95fbcacb3099be67d4ac242b4579e2f32a2d853203bf7fa0,not_computed_in_blind_development
391,2-1/72,2,HNA,2-1,1,72,5,development,2-1/72.mat,f091bfcb0ba8427a8f655d2b1c123fd606fed2e8e27e728258cbb5f08c80849c,979752,336,162,174,392,392,392,5,74cb380e953d3b456ac6251a9964d07a5a8bb312ed988002fddda47613740346,not_computed_in_blind_development
393,2-1/74,2,HNA,2-1,1,74,5,development,2-1/74.mat,3ecc0548ca781f2de50d0795e0c6bfbfadecacc72821275b08c82bf8e8b5cb19,696846,234,110,124,392,392,392,5,37d033a2e8560da82a7e62878d158683ed6fa96822039cddd4fe2a630faea15b,not_computed_in_blind_development
394,2-1/75,2,HNA,2-1,1,75,6,development,2-1/75.mat,fea66b3cdb4ee14290b341f8f7ab8a11c3933e335d9582a9cebcd83535eaa5a0,695100,232,110,122,392,392,392,5,f84b9aaec41380a0d59e6043c51b00236275aba40d70b6d4f0bd0a627b494a9d,not_computed_in_blind_development
395,2-1/76,2,HNA,2-1,1,76,1,development,2-1/76.mat,273413a20b6679da11601c5d4c540b6f253ca4715983f88c89c2c010180e48b8,718412,243,116,127,392,392,392,5,d5461b8e49628cce90fc06535c689e221f6199e44c735a84a8a2ffee0baa821d,not_computed_in_blind_development
396,2-1/77,2,HNA,2-1,1,77,7,development,2-1/77.mat,1049de018773ded840baefeab3136a407cb5a1d08e1b4b02bcc7d41e91a9869d,704822,239,115,124,392,392,392,5,b39c9ae6d18dc5d49a9ab5145fd47488ff0a8e5978e115e40101510968f914f9,not_computed_in_blind_development
397,2-1/78,2,HNA,2-1,1,78,0,development,2-1/78.mat,4418fd81c9cc09d98ddd011ba0f17cc95f939d9b36e871d38df9b3217f6a5863,948333,321,152,169,392,392,392,5,9cb961e6eeef2bcd603440b44c06e88fa52ae00600ba1a73ab44e4b00709190e,not_computed_in_blind_development
399,2-1/80,2,HNA,2-1,1,80,1,development,2-1/80.mat,a950243f47172c70e91dcbec81011d7e82e53702bd17ab56f96e14cb528313c2,612451,203,90,113,392,392,392,5,c65be025ada8cf5e390db388e9c5d92ed1aa6ae64a15be6881bda809c5667c43,not_computed_in_blind_development
401,2-2/2,2,HNA,2-2,2,2,0,development,2-2/2.mat,d9583bfaa8914647357338087443a02bf1fd31e0bd5f997a5e6ea2fcb59bf7ac,721961,242,114,128,392,392,392,5,24511caa28725a91216e9693c90e020f3e9e2613609dfeff20d6e1cb36368ec0,not_computed_in_blind_development
402,2-2/3,2,HNA,2-2,2,3,6,development,2-2/3.mat,4e9c33f3afc6f9b97b901939328ca5ace6b25028397c2ebb2e37c6597b068145,545258,178,87,91,392,392,392,5,f583c9e93a4a214ba69a543b7226d8b5cfaddf85781cfd90d5914e6e131991b2,not_computed_in_blind_development
403,2-2/4,2,HNA,2-2,2,4,6,development,2-2/4.mat,b2552e0ddf463e378ee50c3fd0360ecb046a6f58ed8f438c378901e1bf485559,832464,281,133,148,392,392,392,5,efd17b10d2c4306d55ff2b99d2932d4a17cea15090fc2eaf8cfcfdd7336dcae2,not_computed_in_blind_development
404,2-2/5,2,HNA,2-2,2,5,0,development,2-2/5.mat,358111485702050caf83d3351f8a9e3fcadc84e7b4e92dffb6c0759c8ee3aae2,758602,256,126,130,392,392,392,5,e912ccd4fff4bd37b4033b0c4d7f8e0eeb8f2c58da520c92908cbc6c01113486,not_computed_in_blind_development
405,2-2/6,2,HNA,2-2,2,6,3,development,2-2/6.mat,223f0ac9bbf9acc1f73d87e333ac85a7a3fb4f1e50f0c86758e79357f5dc04ac,526495,171,83,88,392,392,392,5,53f5664d335de242727aeca5968de3aeb77203318c59d55d7c875df7ff391bce,not_computed_in_blind_development
407,2-2/8,2,HNA,2-2,2,8,1,development,2-2/8.mat,d557af61fe4fa9dc5ebd9c84c02ee10c08ec5a6a69c54cf03f6734b1aaf20b82,678328,227,111,116,392,392,392,5,36f02b870b0591b1fc3384cd1685cf28075e4bb8985e02cddc2cc0539ea3acfc,not_computed_in_blind_development
408,2-2/9,2,HNA,2-2,2,9,1,development,2-2/9.mat,5dd69c9d1c40b9353717ba6753d80481c020e70916d3b8c14522217f849f7b84,521743,171,85,86,392,392,392,5,1608e60e20ef15366276e3e56b8410239ea88a1f19d960b4b3e770f0005eeaa2,not_computed_in_blind_development
409,2-2/10,2,HNA,2-2,2,10,3,development,2-2/10.mat,a401ca1a2745185c91ce1192fbdff072d59933e760a96bfc4d43fdbc797e861a,597608,198,91,107,392,392,392,5,2e298cef22d64c2f297b3a9bfda393d5e11b91abb9662ee949f11ae35a360da1,not_computed_in_blind_development
410,2-2/11,2,HNA,2-2,2,11,2,development,2-2/11.mat,eb255b1eac17f685396ee7bdb50ade719117eb7a615a7366531edfebc86d19ad,624013,207,92,115,392,392,392,5,5198501111ee1d6e74c7038809e442d79b0c8292b8393396dd7e2661060426f6,not_computed_in_blind_development
411,2-2/12,2,HNA,2-2,2,12,6,development,2-2/12.mat,e15c57059038dc18d2326fa4c20b2a92162e8b4d3bbac0e179beab9b5aef79a1,1004160,343,169,174,392,392,392,5,d344e94a6c91063d6b1e7c5d4044276a0a688d0754390a8843bac431cefa0435,not_computed_in_blind_development
412,2-2/13,2,HNA,2-2,2,13,3,development,2-2/13.mat,ec0fd5b1a923e88acb1b5f5311b58ce9c4c267521984c6aaa6ed3c136ccc4ae6,763628,258,127,131,392,392,392,5,7a003b1a0bbb70c3a3abc9d093758d8aabac90e846d9a4e384bf14085d632480,not_computed_in_blind_development
413,2-2/14,2,HNA,2-2,2,14,3,development,2-2/14.mat,c25590650f2053e9d7ef7f2e9d6ef974886405f753568c0a4ab12dbefdd41618,796027,269,125,144,392,392,392,5,f0404c08070d9ca723b9bcbbda84099f5273a9a705b1805443334aab87fce907,not_computed_in_blind_development
414,2-2/15,2,HNA,2-2,2,15,0,development,2-2/15.mat,09169384c6b7696bb5c48c5ab465aedc88355ee4ea36bbdee18fb17ff739957d,830819,283,136,147,392,392,392,5,300b3ae64f1b6ee50656eeb76d6388d544bb288e2fbf152e7f3b30f1e46f7e3f,not_computed_in_blind_development
415,2-2/16,2,HNA,2-2,2,16,7,development,2-2/16.mat,0be59b1efa805511c8e0de54f1d2492909a437ac8ccfff822cd48c50ca317de4,797847,271,126,145,392,392,392,5,e72ace0f74873dc6504131cbf3e9a5e848f30d42754212b60a73e1d7fc8e9413,not_computed_in_blind_development
416,2-2/17,2,HNA,2-2,2,17,2,development,2-2/17.mat,f67a6a8f3ac026ffcf36d251bb188e1411a9a3e48a75fe2a14529dd1db206d54,783582,265,132,133,392,392,392,5,c3abc2711c61b18ccc83700419127e0c490ccf327a536f38db80bd67fb7ec4e8,not_computed_in_blind_development
418,2-2/19,2,HNA,2-2,2,19,5,development,2-2/19.mat,cc86ee367e8e2858b6a221ab23a4b01d7107a407ca9c9a7249c65303561ed850,722428,242,114,128,392,392,392,5,149f63f81f6950aecde9a60a349507cca157e51169861465d5d0fdda7e1d45f2,not_computed_in_blind_development
419,2-2/20,2,HNA,2-2,2,20,4,development,2-2/20.mat,b92d9a8d05a4c4cc821bd5a71c9aa5867b66b72500aac4e2ca9c8d5e4cc0cc62,549969,181,82,99,392,392,392,5,1cae1d22686ca967fdb23c27b21b89a996ed4cd97f67a3d6a069a2d3d98c9765,not_computed_in_blind_development
420,2-2/21,2,HNA,2-2,2,21,0,development,2-2/21.mat,4e7921c19c23aba4314ae2d0a74439b86b9eacb3997fe4cb43e8b14bd81ad2af,860163,290,135,155,392,392,392,5,3115f003703d1916b1455278a29e073e08904048fb23cbd7b17018bad5ebed8a,not_computed_in_blind_development
421,2-2/22,2,HNA,2-2,2,22,7,development,2-2/22.mat,2d659ee7f9ac6ed8869ec63a4de008dab039c8d96c57d97719da479caf1e7055,1028714,354,174,180,392,392,392,5,f1ddee03856f4d59801bf31944a3b9c58acc97d263695f7805ff15b0cc1b9b67,not_computed_in_blind_development
422,2-2/23,2,HNA,2-2,2,23,7,development,2-2/23.mat,7892c4c246e3e78fa8e2b90b8ce2ff6709f5e90b3015a8f66647551fd6715944,886729,302,143,159,392,392,392,5,cfec9b2cbdb3f0c4b2f9fa8c4432ca5033bf581ca9bfc7ef2f4beb6dd0bdc869,not_computed_in_blind_development
